Nama,Rating,Location,Entrance Fee,Foto
Subak Museum,4.2,"Jl. Gatot Subroto No.5b, Banjar Anyar, Kec. Kediri, Kabupaten Tabanan, Bali 82121",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/31.jpeg
Desa Swing Bongkasa,4.7,"Jl. Tangga Yuda, Bongkasa, Kec. Abiansemal, Kabupaten Badung, Bali 80571",150000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/32.jpg
Ceking Rice Terrace,4.4,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/33.jpg
Werdhi Budaya Art Centre,4.6,"Jl. Nusa Indah No.1, Panjer, Denpasar Selatan, Kota Denpasar, Bali 80236",25000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/34.jpg
Puri Agung Denpasar,4.6,"Jl. Veteran No.62, Dangin Puri Kaja, Kec. Denpasar Utara, Kota Denpasar, Bali 80361",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/35.jpg
Sanur Beach Bali,4.7,"Jalan Cemara, Sanur, Denpasar Selatan, Kota Denpasar, Bali",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/36.jpg
Daya Tarik Wisata Bedugul,4.6,"Jl. Puncak Mangu No.1, Batunya, Buleleng, Kabupaten Tabanan, Bali 82191",40000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/37.jpg
Penglipuran Village,4.8,"Jl. Penglipuran, Kubu, Kec. Bangli, Kabupaten Bangli, Bali 80611",25000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/38.jpg
WAHANA ALAM BALI PT,4.6,"Jl. Pakudui No.3, Kedisan, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/39.jpg
Pura Tirta Empul,4.6,"Tampaksiring, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/40.jpg
Taman Sari Gading,5.0,"Jl. Petang, Petang, Kec. Petang, Kabupaten Badung, Bali 82191",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/41.jpeg
Sumampan Waterfall,4.5,"Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581",5000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/42.jpg
Kajeng Rice Field,4.6,"Jl. Kajeng No.88, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/43.jpg
Campuhan Ridge Walk,4.4,"Kelusa, Payangan, Jl. Raya Campuhan, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/44.jpg
Bali Bird Walks,4.5,"Jl. Penestanan Kelod, Sayan, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",305000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/45.jpg
Kuta Beach,4.6,"Kec. Kuta, Kabupaten Badung, Bali",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/46.jpg
Museum Puri Lukisan,4.3,"Jl. Raya Ubud, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/47.jpg
Wisata Grembengan,4.2,"Bongan Jawa kangin, Bongan, Kec. Tabanan, Kabupaten Tabanan, Bali 82121",30000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/48.jpg
Moon of Pejeng,3.9,"Pejeng, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/49.jpg
Bali Handara Gate,4.1,"Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/50.jpg
Petulu Heron Bird Colony Watch Point,4.3,"Petulu, Kecamatan Ubud, Kabupaten Gianyar, Bali 80561",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/51.jpg
Temple Yeh Pulu,4.2,"Jalan Yeh Pulu Blahbatuh, Bedulu, Kec. Gianyar, Kabupaten Gianyar, Bali 80581",30000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/52.jpg
Air Terjun Twin waterfall Lipah Petang,4.4,"Jl. Lipah, Petang, Kec. Petang, Kabupaten Badung, Bali 80353",30000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/53.jpg
Bali Botanical Garden,4.6,"Jl. Kebun Raya, Candikuning, Kec. Baturiti, Kabupaten Tabanan, Bali 82191",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/54.jpg
Padang Galak Beach,4.4,"Jl. Padang Galak No.3, Kesiman, Kec. Denpasar Tim., Kota Denpasar, Bali",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/55.jpg
TRAV CARITO,5.0,"Jl. Dewi Sri, Legian, Kec. Kuta, Kabupaten Badung, Bali 80361",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/56.jpg
Samuan Tiga Temple,4.5,"Jl. Pura Samuan Tiga, Bedulu, Kec. Blahbatuh, Kabupaten Gianyar, Bali 50581",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/57.jpg
Air Terjun Campuhan,4.3,"Jl. Swadaya, Antapan, Kec. Baturiti, Kabupaten Tabanan, Bali 82191",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/58.jpg
Bukit Campuhan,4.5,"Jl. Bangkiang Sidem, Kelusa, Kec. Payangan, Kabupaten Gianyar, Bali 80571",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/59.jpg
Goa Raja Waterfall,4.7,"Jehem, Kec. Tembuku, Kabupaten Bangli, Bali",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/60.jpg
Sambangan Village Tourist Information (Sambangan Secret Garden),4.9,"Jl. Raya Desa Sambangan, Sambangan, Kec. Buleleng, Kabupaten Buleleng, Bali 81161",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/61.jpg
Puncak Wanagiri,4.6,"Jl. Raya Wanagiri, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",100000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/62.jpg
Gatep Lawas Ambengan,4.5,"Sambangan, Sukasada, Buleleng Regency, Bali 81161",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/63.jpg
IndonesiaTIC / TIC MPU Kuta-Bali,4.5,"Jl. Raya Kuta No.2, Kuta, Kec. Kuta, Kabupaten Badung, Bali 80361",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/64.jpg
Bali Swing,4.6,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 80352",170000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/65.jpg
Saraswati Temple,4.4,"Jl. Kajeng, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",100000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/66.jpg
bali rice temple,5,"Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",25000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/67.jpg
Pura Kahyangan Jagat Bukit Dharma Durga Kutri,4.7,"Jl. Raya Buruan, Buruan, Kec. Gianyar, Kabupaten Gianyar, Bali 80581",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/68.jpg
Bukit Asah Bali - Tempat Camping di Bali,4.5,"Desa Adat Bugbug, Jl. Raya Bukit Asah, Sengkidu, Kec. Karangasem, Kabupaten Karangasem, Bali 80851",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/69.jpg
Wisata Kayu Putih,4.7,"Tua, Marga, Tabanan Regency, Bali 82191",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/70.jpg
"Blue Lagoon (Secret Garden of Sambangan & Sliding, Jumping Attraction)",4.7,"Sambangan, Sukasada, Buleleng Regency, Bali 81161",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/71.jpg
Mount Abang,4.7,"Abangsongan, Kec. Kintamani, Kabupaten Bangli, Bali 80853",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/72.jpg
Tanjung Benoa Beach,4.5,"Jl. Pratama, Benoa, Badung, Kabupaten Badung, Bali 80361",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/73.jpg
Bedugul,4.8,"Candikuning, Baturiti, Regency, Bali 82191",75000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/74.jpg
Pura Penataran Sasih,4.7,"Jalan Raya, Pejeng, Tampaksiring, Gianyar Regency, Bali 80571",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/75.jpg
Sukawati Art Market,4.3,"Jalan Raya Sukawati, Sukawati, Kec. Sukawati, Kabupaten Gianyar, Bali 80582",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/76.jpg
Taman Nusa,4.3,"Banjar Blahpane Kelod, Jl. Taman Bali – Banjarangkan, Sidan, Kec. Gianyar, Kabupaten Gianyar, Bali 80582",400000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/77.jpg
Bali Entdecken,5.0,"Jl. Sedap Malam No.208, Sanur Kaja, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/78.jpg
The Flea Market,3.8,"Kayu Aya Square Oberoi, Jl. Kayu Aya No.17",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/79.jpg
Babahan Rice Terraces,5.0,"Babahan, Penebel, Tabanan Regency, Bali 82152",40000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/80.jpg
Blangsinga Waterfall,4.6,"Banjar Blangsinga, Jl. Raya Blangsinga, Saba, Kec. Blahbatuh, Kabupaten Gianyar, Bali 80581",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/81.jpg
Pura Gunung Kawi Sebatu,4.6,"Sebatu, Kec. Tegallalang, Kabupaten Gianyar, Bali 80511",30000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/82.jpg
Air Terjun Munduk,4.5,"Jl Raya No.Desa, Munduk, Kec. Banjar, Kabupaten Buleleng, Bali 81152",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/83.jpg
Museum Geopark Batur,4.6,"Penelokan Main Rd, South Batur, Kintamani, Bangli Regency, Bali 80652",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/84.jpg
Taman Ayun Temple,4.6,"Jl. Ayodya No.10, Mengwi, Kec. Mengwi, Kabupaten Badung, Bali 80351",30000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/85.jpg
Museum Le Mayeur,4.2,"Jl. Hang Tuah, Sanur Kaja, Denpasar Selatan, Kota Denpasar, Bali",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/86.jpg
Pura Dalem Agung Padangtegal,4.5,"Jl. Monkey Forest, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/87.jpg
Desa Wisata Pule,4.8,"Banjar Pule, Kawan, Kec. Bangli, Kabupaten Bangli, Bali 80613",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/88.jpg
Agrowisata Satria 1,4.5,"Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",50000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/89.jpg
Wisata Air Panas Toya Bungkah,4.4,"Batur Tengah, Kec. Kintamani, Kabupaten Bangli, Bali",70000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/90.jpg
Air Terjun Aling-Aling,4.6,"Jl. Raya Desa Sambangan, Banjar, Sambangan, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/91.jpg
Air Terjun Tegenungan,4.3,"Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/92.jpg
Air Terjun Tukad Cepung,4.6,"Central parkir waterfall tukad cepung, Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/93.jpg
Aloha Ubud Swing,4.7,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",400000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/94.jpg
Handara Iconic Gate,4,"Jl. Bali Handara Kosaido Golf Course, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 82191",20000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/95.jpg
Bali Swing,4.6,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 803.52",500000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/96.jpg
Big Garden Corner,4.3,"Jl. By Pas Ngurah Rai, Sanur, Denpasar 8023.07 Indonesia",305000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/97.jpg
Campuhan Ridge Walk,4.4,"Jl. Raya Campuhan, Ubud 80571 Indonesia",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/98.jpg
Danau Batur,4.6,"Songan B, Kec. Kintamani, Kabupaten Bangli, Bali",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/99.jpg
Danau Tamblingan,4.7,"Banjar Dinas Tamblingan desa Munduk, Kecamatan Banjar Kabupaten Buleleng",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/100.jpg
Desa Budaya Kertalangu,4.3,"Jl. Bypass Ngurah Rai No.88, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 8023.07",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/101.jpg
Garuda Wisnu Kencana,4.5,"Jl. Raya Uluwatu, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 803.064.0",115000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/102.jpg
Goa Gajah,4.2,"Jalan Raya Goa Gajah No.99 Kemenuh Sukawati, Pejeng Kawan, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80582",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/103.jpg
Gunung Agung,4.4,"Jungutan, Kec. Bebandem, Kabupaten Karangasem, Bali",25000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/104.jpg
Gunung Batur,4.5,"Batur Sel., Kec. Kintamani, Kabupaten Bangli, Bali",15000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/105.jpg
Istana Air Taman Ujung,4.6,"Taman Ujung, Br. Dinas, Tumbu, Kec. Karangasem, Kabupaten Karangasem, Bali 80811",10000,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/106.jpg
Pantai Jimbaran,4.4,"Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali",0,https://raw.githubusercontent.com/Capstone-Bangkit-C23-PC670/BaliGuideML/main/Dataset/gambar_destinasi_turis/107.jpg
